headline_id,headline_text,domain,pc1,wave,block,villain_presence_count,victim_presence_count,clarity_count,villain_presence_sum,victim_presence_sum,clarity_sum,villain_presence_majority,victim_presence_majority,clarity_majority
H3080,"Head of the global climate change cult, Al Gore, says ""God"" told him to fight global warming",naturalnews.com,0.0,1,1,11,11,11,6.0,3.0,9.0,1,0,1
H3064,Facebook User Receives Death Threats After Posting Pic of Billboard telling Liberals to Leave Texas,infowars.com,0.0458475179096454,1,1,11,11,11,7.0,11.0,11.0,1,1,1
H0032,They’re Not Going To Tell You This—It’s Really Scary What The Department of Energy Just Did… | Alternative,beforeitsnews.com,0.0560036536327054,1,1,11,11,11,4.0,2.0,3.0,0,0,0
H1931,"Sikhs Aim to Plant 1,000,000 Trees by November as Gift to Planet",wakingtimes.com,0.0901725391626428,1,1,11,11,11,0.0,1.0,10.0,0,0,1
H2999,JUST IN: Congress Introduces Bill To End Obama’s Reckless Last-Hour Reign,conservativedailypost.com,0.124791324034711,1,1,11,11,11,6.0,1.0,9.0,1,0,1
H1333,"Media Stunned – President Trump Support Stronger Than Ever, and Growing…",theconservativetreehouse.com,0.135066562651449,1,1,11,11,11,4.0,3.0,10.0,0,0,1
H1959,PLANDEMIC: Full Feature Film Released Online Amidst Tremendous Opposition and Attempts to Censor it,vaccineimpact.com,0.151269473665017,1,1,11,11,11,2.0,4.0,9.0,0,0,1
H0649,Robert Mueller and His Ilk Are About to Commit a Massive Crime; Will You Let Them Get Away With It?,larouchepac.com,0.198124602372848,1,1,11,11,11,7.0,2.0,5.0,1,0,0
H0363,"Will Ferrell Had This to Say About Augusta, Maine Residents – News Daily 12",newsdaily12.com,0.216462936422511,1,1,11,11,11,1.0,1.0,4.0,0,0,0
H0895,Democrat Proposes Taxpayer Funded Housing For Congress In Washington DC,americanlookout.com,0.242639223381286,1,1,11,11,11,2.0,3.0,10.0,0,0,1
H3262,NPR Falsely Calls Victim Of Attack By Rioters A White Supremacist,thefederalist.com,0.257333312407563,1,1,11,11,11,11.0,11.0,11.0,1,1,1
H2242,"""All I Have To Offer Is Some P*xxy"" Chick Says She Has Nothing To Offer A Man!",worldstarhiphop.com,0.288824151569851,1,1,11,11,11,2.0,2.0,5.0,0,0,0
H2319,Chuck E. Cheese's hosting Sensory Sensitive Sundays,autismspeaks.org,0.305779691436367,1,1,11,11,11,1.0,2.0,8.0,0,0,1
H3971,GOOD: The Trump Campaign WILL NOT pull the ad were Dr. Fauci says he was 'taken out of context',twitchy.com,0.348691813768861,1,1,11,11,11,5.0,7.0,9.0,0,1,1
H3897,PROTECT FREE SPEECH: AT&T Employee allegedly fired for private messages speaks out,glennbeck.com,0.372244526858301,1,1,11,11,11,8.0,11.0,11.0,1,1,1
H3875,Woke Oberlin College hit with $4m interest for not $36m to bakery,dailymail.co.uk,0.383860647514719,1,1,11,11,11,6.0,7.0,7.0,1,1,1
H1323,New info emerges explaining why Tillerson called Trump a 'f***ing moron',dailykos.com,0.413735620185017,1,1,11,11,11,8.0,7.0,10.0,1,1,1
H2577,From Crib to Court: Trump Administration Summons Immigrant Infants,truthout.org,0.448600038526601,1,1,11,11,11,8.0,8.0,9.0,1,1,1
H2930,Evening Edition - January 28,mikehuckabee.com,0.450186169514341,1,1,11,11,11,0.0,1.0,4.0,0,0,0
H2265,Union Teachers Are Donating Their Stimulus Checks to the Undocumented,inthesetimes.com,0.498925393419515,1,1,11,11,11,2.0,4.0,10.0,0,0,1
H2279,Updated: Gallery of Nebraska's Missing Children: Have you seen me?,nptelegraph.com,0.500851750373838,1,1,11,11,11,1.0,9.0,10.0,0,1,1
H1771,Georgia Politician Vernon Jones Crowdsurfs Sans Mask at Trump Rally,thedailybeast.com,0.5381943988207,1,1,11,11,11,3.0,0.0,10.0,0,0,1
H2259,"Tick populations expected to be high this year, how to protect yourself",news10.com,0.552649667527312,1,1,11,11,11,9.0,7.0,11.0,1,1,1
H0318,No. 1 Knights look for first 4-0 start since 2005,bdtonline.com,0.593319429205137,1,1,11,11,11,1.0,1.0,8.0,0,0,1
H1857,Petition update · Texas Medical Board to issue final verdict in their long running prosecution of Dr. Burzynski · Change.org,change.org,0.619205572780572,1,1,11,11,11,6.0,4.0,8.0,1,0,1
H0962,"Whopper Special: With midterms rapidly approaching, Dem flip-flopping is now in overdrive",nypost.com,0.638970275002357,1,1,11,11,11,4.0,0.0,5.0,0,0,0
H3784,The Best Hair Looks From Fall 2017 Runways,elle.com,0.674475899798678,1,1,11,11,11,0.0,1.0,9.0,0,0,1
H2665,"New Ohio distracted driving law now in effect, fines increased",cleveland19.com,0.689274090638285,1,1,11,11,11,4.0,2.0,11.0,0,0,1
H2180,US Sportswear Traced To Internment Camps Holding Detained Chinese Muslims,huffingtonpost.com,0.715235206216845,1,1,11,11,11,8.0,10.0,10.0,1,1,1
H3797,Thailand cave rescue: all 12 boys are successfully rescued – live,theguardian.com,0.74959222370997,1,1,11,11,11,1.0,8.0,11.0,0,1,1
H3379,Alligator Captured In Giant Eagle Parking Lot,cbslocal.com,0.751190107612549,1,1,11,11,11,2.0,2.0,11.0,0,0,1
H0998,Misconceptions About Love & Marriage: The Grass Looks Greener,patheos.com,0.786958288006023,1,1,11,11,11,1.0,1.0,11.0,0,0,1
H3526,Senate Panel’s Russia Probe Found Counterintelligence Risks in Trump’s 2016 Campaign,wsj.com,0.804466118117895,1,1,11,11,11,9.0,6.0,10.0,1,1,1
H0360,'Brilliant' Man Who Was An Inventor of the Calculator Dies,bloomberg.com,0.840147313769099,1,1,11,11,11,1.0,3.0,11.0,0,0,1
H2484,"Nancy Hatch Dupree, Scholar of Afghanistan, Is Dead at 89",nytimes.com,0.858776290720608,1,1,11,11,11,2.0,5.0,10.0,0,0,1
H0079,Why Lake Sunapee could be your next summer getaway,nationalgeographic.com,0.887787044279448,1,1,11,11,11,0.0,0.0,10.0,0,0,1
H1814,Could the 2020 U.S. Presidential Election Be Postponed?,snopes.com,0.90354981436689,1,1,11,11,11,0.0,2.0,10.0,0,0,1
H2551,"Trump Invokes A Cold War Relic, The Defense Production Act, For Coronavirus Shortages",npr.org,0.930525246755544,1,1,11,11,11,4.0,1.0,8.0,0,0,1
H3200,’You’re not some p-ssy sitting on the sidelines’ & other Mattis-isms: Secretary of Defense edition,militarytimes.com,0.951497998550873,1,1,11,11,11,2.0,0.0,3.0,0,0,0
H2187,"Virus aid package tests whether Biden, Congress can deliver",apnews.com,0.998049167729267,1,1,11,11,11,1.0,1.0,10.0,0,0,1
H0719,WTF? Feminist Strips Naked In Front of Children for Art Display,infowars.com,0.0458475179096454,1,1,11,11,11,11.0,11.0,11.0,1,1,1
H1113,Jamie Lee Curtis Turns Heads As She Appears In A Divine White Ensemble At The Golden Globes,fabiosa.com,0.0905862324182262,1,1,11,11,11,1.0,2.0,10.0,0,0,1
H1334,"The Toxic Person You Need To Avoid, According To Your Zodiac Sign",awarenessact.com,0.0705539230341695,1,1,11,11,11,4.0,2.0,9.0,0,0,1
H2440,Brag About Homestead High School,nbcmiami.com,0.57194619974825,1,1,11,11,11,1.0,1.0,2.0,0,0,0
H0316,"9/11 tribute: Raleigh woman runs for 9 hours, 11 minutes to raise money for veteran suicide prevention :: WRAL.com",wral.com,0.877291605300351,1,1,11,11,11,2.0,6.0,10.0,0,1,1
H3242,Policía solicita ayuda para encontrar a hombre desaparecido en Corozal,univision.com,0.717076812957865,1,1,11,11,11,0.0,2.0,3.0,0,0,0
H1978,$3.5 trillion a year: America’s health care system has become one of the world’s largest money making scams,naturalnews.com,0.0,1,1,11,11,11,9.0,6.0,10.0,1,1,1
H0879,CIVIL WAR IS HERE: Dutch citizens fed up with Muslim ‘refugees’ burn down an Islamc center in the country,jewsnews.co.il,0.237109310545107,1,1,11,11,11,11.0,11.0,11.0,1,1,1
H0549,Newt Gingrich: Democrats ‘Are Owned By People Who Are Funded by George Soros’,grabien.com,0.587941579935445,1,1,11,11,11,9.0,5.0,7.0,1,0,1
H2520,THREE TIME DEPORTED Illegal Alien Child Sex Offender Sentenced Today In Orlando…#BuildTheWall! * 100PercentFedUp.com,100percentfedup.com,0.21938033253327,1,1,11,11,11,10.0,7.0,11.0,1,1,1
H2331,The Nikola Tesla Interview Hidden For 116 Years,worldtruth.tv,0.017643643892146,1,2,8,8,8,0.0,2.0,6.0,0,0,1
H2791,Masks are killing you – Take them off now – Doctor – Please Share,davidicke.com,0.0416143549077332,1,2,8,8,8,3.0,3.0,4.0,0,0,0
H1240,"Healing With Iodine: Supplementation is Essential for Heart Disease, Diabetes, Cancer",humansarefree.com,0.0572211982440859,1,2,8,8,8,1.0,0.0,5.0,0,0,1
H1765,"Hannity WARNS: Evidence is Coming That Will “Rock the Foundation of Washington, D.C.” (Video)",truthuncensored.net,0.0853217706757043,1,2,8,8,8,0.0,0.0,2.0,0,0,0
H1786,Jill Biden BOOED At Brad Paisley Concert: ”You’re booing yourselves!” Unpopular First Lady Tells Nashville Crowd [VIDEO],thegatewaypundit.com,0.109374585525566,1,2,8,8,8,6.0,5.0,8.0,1,1,1
H2340,The Entrance to ‘Inner Earth’—Meet the EVEREST of Caves,ewao.com,0.131186638839105,1,2,8,8,8,0.0,0.0,2.0,0,0,0
H3545,How Your Body and Brain Physically Change After Cutting Out Sugar for Just 10 Days,healthy-holistic-living.com,0.171653494614812,1,2,8,8,8,0.0,0.0,6.0,0,0,1
H2589,"Ticked-Off Franklin Graham Draws The Line... Turns Tables On ""Religion Of Peace""",thetruthdivision.com,0.197110576231087,1,2,8,8,8,5.0,4.0,4.0,1,0,0
H1223,"Dozens of Top Nuclear Scientists With ""Highest Security Clearances"" Being Fired From Los Alamos Lab After Vax Mandate",wearechange.org,0.214358641610838,1,2,8,8,8,5.0,8.0,8.0,1,1,1
H1562,"Germany: Muslim screaming “Allahu akbar” injures policewoman outside synagogue, escapes from psych ward",jihadwatch.org,0.23030350568835,1,2,8,8,8,6.0,8.0,6.0,1,1,1
H2324,Obama Throws Cold Water On Democrats at DNC Fundraiser: Quit Your Moping,townhall.com,0.273514170924363,1,2,8,8,8,5.0,4.0,6.0,1,0,1
H1442,Senator Grassley Hits Pelosi And Schumer On Coronavirus Relief Bill,thepoliticalinsider.com,0.275564764275463,1,2,8,8,8,4.0,3.0,4.0,0,0,0
H0355,Judge in case of female athletes wanting ban on males competing against them says attorneys can't call trans athletes 'males',theblaze.com,0.319102558515008,1,2,8,8,8,5.0,4.0,7.0,1,0,1
