pc1,like_count,retweet_count,outrage,villain_prob,victim_prob,shared_id
0.358450737,9,7,1,0.228515625,0.875,1
0.358450737,3,2,1,0.228515625,0.875,8
0.358450737,2,1,1,0.228515625,0.875,14
0.358450737,1,9,1,0.12109375,0.114257813,30
0.358450737,4,2,1,0.12109375,0.114257813,31
0.358450737,1,8,1,0.12109375,0.114257813,47
0.358450737,20,8,0,0.12109375,0.114257813,132
0.358450737,3,2,1,0.12109375,0.114257813,218
0.358450737,1,2,0,0.90625,0.78125,287
0.358450737,5,9,0,0.092773438,0.053710938,297
0.358450737,2,0,0,0.038574219,0.17578125,307
0.358450737,55,49,1,0.098144531,0.5859375,322
0.358450737,3,4,1,0.001724243,0.013183594,323
0.358450737,437,249,1,0.073242188,0.228515625,325
0.358450737,8,5,1,0.115722656,0.287109375,348
0.358450737,25,31,1,0.016601563,0.046142578,384
0.358450737,9,10,1,0.90234375,0.98046875,386
0.358450737,4,6,1,0.296875,0.090332031,393
0.358450737,1,0,0,0.102539063,0.074707031,410
0.358450737,8,4,0,0.00201416,0.057373047,441
0.358450737,21,6,0,0.00201416,0.057373047,459
0.358450737,27,23,1,0.37109375,0.306640625,463
0.358450737,23,18,1,0.6875,0.99609375,483
0.358450737,74,102,1,0.081542969,0.039550781,490
0.358450737,4,2,1,0.081542969,0.039550781,506
0.358450737,6,7,0,0.314453125,0.314453125,510
0.358450737,0,1,0,0.074707031,0.392578125,535
0.358450737,20,13,1,0.4453125,0.62109375,544
0.358450737,17,14,0,0.12109375,0.114257813,598
0.358450737,17,14,1,0.12109375,0.114257813,601
0.358450737,12,15,0,0.421875,0.5234375,619
0.358450737,3,2,0,0.546875,0.78125,639
0.358450737,21,10,0,0.546875,0.78125,642
0.358450737,0,0,0,0.546875,0.78125,645
0.358450737,25,9,0,0.546875,0.78125,664
0.358450737,1,0,0,0.546875,0.78125,668
0.358450737,18,6,0,0.546875,0.78125,682
0.358450737,7,7,1,0.024169922,0.078613281,707
0.358450737,37,74,1,0.4765625,0.5625,716
0.358450737,5,0,0,0.5703125,0.211914063,730
0.358450737,13,10,0,0.271484375,0.408203125,748
0.358450737,1,1,1,0.86328125,0.70703125,775
0.358450737,5,21,0,0.65234375,0.35546875,778
0.358450737,0,0,0,0.609375,0.211914063,815
0.358450737,1,2,0,0.609375,0.211914063,817
0.358450737,13,26,0,0.017822266,0.030273438,838
0.358450737,1,4,1,0.85546875,0.8359375,864
0.358450737,1,5,0,0.12109375,0.114257813,867
0.358450737,9,8,0,0.12109375,0.114257813,982
0.358450737,7,12,1,0.96484375,1,1002
0.358450737,3,8,1,0.91015625,0.984375,1035
0.358450737,23,25,0,0.12109375,0.114257813,1045
0.358450737,0,0,0,0.90625,0.9765625,1048
0.358450737,0,1,1,0.078613281,0.328125,1051
0.358450737,9,6,1,0.66015625,0.5390625,1072
0.358450737,50,58,1,0.12109375,0.114257813,1103
0.358450737,6,3,1,0.5703125,0.294921875,1141
0.358450737,2,1,1,0.76171875,0.211914063,1189
0.358450737,8,6,1,0.12109375,0.114257813,1194
0.358450737,10,4,1,0.12109375,0.114257813,1195
0.358450737,8,11,1,0.12109375,0.114257813,1196
0.358450737,1,1,0,0.047363281,0.26953125,1334
0.358450737,9,6,1,0.484375,0.453125,1337
0.358450737,0,0,0,0.8984375,0.4609375,1378
0.358450737,4,10,0,0.12109375,0.114257813,1382
0.358450737,72,58,1,0.36328125,0.12109375,1411
0.358450737,1,0,0,0.018920898,0.026000977,1451
0.358450737,1081,390,1,0.007659912,0.059570313,1479
0.358450737,12,12,1,0.12109375,0.114257813,1487
0.358450737,32,25,0,0.12109375,0.114257813,1500
0.358450737,2,0,0,0.2421875,0.376953125,1535
0.358450737,3,4,1,0.006530762,0.016845703,1544
0.358450737,6,6,1,0.030883789,0.082519531,1593
0.358450737,6,13,1,0.033935547,0.91015625,1658
0.358450737,2,3,0,0.255859375,0.4296875,1688
0.358450737,3,3,1,0.255859375,0.4296875,1695
0.358450737,3,3,1,0.092773438,0.19921875,1716
0.358450737,28,25,1,0.069824219,0.255859375,1780
0.358450737,6,6,1,0.36328125,0.46875,1814
0.358450737,6,4,1,0.168945313,0.170898438,1839
0.358450737,5,2,1,0.609375,0.16015625,1853
0.358450737,0,0,0,0.8046875,0.104980469,1874
0.358450737,47,53,1,0.114257813,0.106933594,1888
0.358450737,9,1,1,0.4375,0.068359375,1896
0.358450737,6,7,0,0.12109375,0.114257813,1942
0.358450737,0,0,0,0.006134033,0.015136719,1960
0.358450737,8,4,1,0.73828125,0.408203125,1962
